category,keyword,competition,intents,trend
related_keywords,kitchen curtain,100,,"October 2024 : 49500, November 2024 : 49500, December 2024 : 40500, January 2025 : 40500, February 2025 : 33100, March 2025 : 40500, April 2025 : 33100, May 2025 : 33100, June 2025 : 33100, July 2025 : 33100, August 2025 : 33100, September 2025 : 33100"
related_keywords,roller shade blinds,100,,"October 2024 : 40500, November 2024 : 40500, December 2024 : 33100, January 2025 : 40500, February 2025 : 33100, March 2025 : 40500, April 2025 : 40500, May 2025 : 40500, June 2025 : 49500, July 2025 : 60500, August 2025 : 74000, September 2025 : 49500"
related_keywords,curtains and sheers,100,,"October 2024 : 40500, November 2024 : 40500, December 2024 : 33100, January 2025 : 40500, February 2025 : 33100, March 2025 : 40500, April 2025 : 33100, May 2025 : 40500, June 2025 : 40500, July 2025 : 40500, August 2025 : 49500, September 2025 : 49500"
related_keywords,cellular shades,100,,"October 2024 : 27100, November 2024 : 33100, December 2024 : 27100, January 2025 : 33100, February 2025 : 27100, March 2025 : 27100, April 2025 : 27100, May 2025 : 27100, June 2025 : 40500, July 2025 : 33100, August 2025 : 33100, September 2025 : 33100"
related_keywords,wood blinds,100,,"October 2024 : 27100, November 2024 : 33100, December 2024 : 27100, January 2025 : 27100, February 2025 : 27100, March 2025 : 27100, April 2025 : 27100, May 2025 : 27100, June 2025 : 27100, July 2025 : 27100, August 2025 : 60500, September 2025 : 27100"
related_keywords,window curtains,100,,"October 2024 : 33100, November 2024 : 40500, December 2024 : 33100, January 2025 : 33100, February 2025 : 27100, March 2025 : 33100, April 2025 : 33100, May 2025 : 33100, June 2025 : 27100, July 2025 : 27100, August 2025 : 27100, September 2025 : 27100"
related_keywords,ikea drapery,100,,"October 2024 : 33100, November 2024 : 40500, December 2024 : 33100, January 2025 : 40500, February 2025 : 27100, March 2025 : 33100, April 2025 : 27100, May 2025 : 33100, June 2025 : 33100, July 2025 : 33100, August 2025 : 33100, September 2025 : 33100"
related_keywords,windows with curtains,100,,"October 2024 : 33100, November 2024 : 40500, December 2024 : 33100, January 2025 : 33100, February 2025 : 27100, March 2025 : 33100, April 2025 : 33100, May 2025 : 33100, June 2025 : 27100, July 2025 : 27100, August 2025 : 27100, September 2025 : 27100"
related_keywords,venetian blinds,99,,"October 2024 : 27100, November 2024 : 22200, December 2024 : 22200, January 2025 : 22200, February 2025 : 18100, March 2025 : 22200, April 2025 : 27100, May 2025 : 27100, June 2025 : 40500, July 2025 : 49500, August 2025 : 33100, September 2025 : 33100"
related_keywords,blinds near me,83,,"October 2024 : 27100, November 2024 : 27100, December 2024 : 22200, January 2025 : 27100, February 2025 : 27100, March 2025 : 33100, April 2025 : 27100, May 2025 : 27100, June 2025 : 27100, July 2025 : 27100, August 2025 : 27100, September 2025 : 22200"
related_keywords,faux wood blinds,100,,"October 2024 : 27100, November 2024 : 33100, December 2024 : 22200, January 2025 : 27100, February 2025 : 22200, March 2025 : 27100, April 2025 : 27100, May 2025 : 27100, June 2025 : 33100, July 2025 : 33100, August 2025 : 40500, September 2025 : 33100"
related_keywords,window blinds near me,61,,"October 2024 : 22200, November 2024 : 27100, December 2024 : 18100, January 2025 : 22200, February 2025 : 27100, March 2025 : 33100, April 2025 : 22200, May 2025 : 22200, June 2025 : 22200, July 2025 : 27100, August 2025 : 27100, September 2025 : 27100"
related_keywords,custom blinds near me,61,,"October 2024 : 22200, November 2024 : 27100, December 2024 : 18100, January 2025 : 22200, February 2025 : 27100, March 2025 : 33100, April 2025 : 22200, May 2025 : 22200, June 2025 : 22200, July 2025 : 27100, August 2025 : 27100, September 2025 : 27100"
related_keywords,window shades near me,61,,"October 2024 : 22200, November 2024 : 27100, December 2024 : 18100, January 2025 : 22200, February 2025 : 27100, March 2025 : 33100, April 2025 : 22200, May 2025 : 22200, June 2025 : 22200, July 2025 : 27100, August 2025 : 27100, September 2025 : 27100"
related_keywords,cafe curtains,100,,"October 2024 : 33100, November 2024 : 27100, December 2024 : 22200, January 2025 : 33100, February 2025 : 27100, March 2025 : 33100, April 2025 : 27100, May 2025 : 27100, June 2025 : 27100, July 2025 : 33100, August 2025 : 33100, September 2025 : 33100"
related_keywords,blinds for sliding glass doors,100,,"October 2024 : 33100, November 2024 : 33100, December 2024 : 27100, January 2025 : 40500, February 2025 : 27100, March 2025 : 33100, April 2025 : 27100, May 2025 : 27100, June 2025 : 27100, July 2025 : 27100, August 2025 : 27100, September 2025 : 22200"
related_keywords,blinds store near me,83,,"October 2024 : 27100, November 2024 : 27100, December 2024 : 22200, January 2025 : 27100, February 2025 : 27100, March 2025 : 33100, April 2025 : 27100, May 2025 : 27100, June 2025 : 27100, July 2025 : 27100, August 2025 : 27100, September 2025 : 22200"
related_keywords,valance curtains,100,,"October 2024 : 27100, November 2024 : 33100, December 2024 : 22200, January 2025 : 27100, February 2025 : 22200, March 2025 : 27100, April 2025 : 22200, May 2025 : 22200, June 2025 : 22200, July 2025 : 27100, August 2025 : 27100, September 2025 : 22200"
related_keywords,curtains for sliding glass doors,100,,"October 2024 : 27100, November 2024 : 33100, December 2024 : 27100, January 2025 : 27100, February 2025 : 22200, March 2025 : 27100, April 2025 : 22200, May 2025 : 22200, June 2025 : 22200, July 2025 : 22200, August 2025 : 22200, September 2025 : 22200"
related_keywords,roller blinds near me,83,,"October 2024 : 27100, November 2024 : 27100, December 2024 : 22200, January 2025 : 27100, February 2025 : 27100, March 2025 : 33100, April 2025 : 27100, May 2025 : 27100, June 2025 : 27100, July 2025 : 27100, August 2025 : 27100, September 2025 : 22200"
related_keywords,blinds for sliding door,100,,"October 2024 : 33100, November 2024 : 33100, December 2024 : 27100, January 2025 : 40500, February 2025 : 27100, March 2025 : 33100, April 2025 : 27100, May 2025 : 27100, June 2025 : 27100, July 2025 : 27100, August 2025 : 27100, September 2025 : 22200"
related_keywords,drapes for sliding glass door,100,,"October 2024 : 27100, November 2024 : 33100, December 2024 : 27100, January 2025 : 27100, February 2025 : 22200, March 2025 : 27100, April 2025 : 22200, May 2025 : 22200, June 2025 : 22200, July 2025 : 22200, August 2025 : 22200, September 2025 : 22200"
related_keywords,blind near me,83,,"October 2024 : 27100, November 2024 : 27100, December 2024 : 22200, January 2025 : 27100, February 2025 : 27100, March 2025 : 33100, April 2025 : 27100, May 2025 : 27100, June 2025 : 27100, July 2025 : 27100, August 2025 : 27100, September 2025 : 22200"
related_keywords,window shades and blinds near me,61,,"October 2024 : 22200, November 2024 : 27100, December 2024 : 18100, January 2025 : 22200, February 2025 : 27100, March 2025 : 33100, April 2025 : 22200, May 2025 : 22200, June 2025 : 22200, July 2025 : 27100, August 2025 : 27100, September 2025 : 27100"
related_keywords,roller blinds for patio doors,100,,"October 2024 : 33100, November 2024 : 33100, December 2024 : 27100, January 2025 : 40500, February 2025 : 27100, March 2025 : 33100, April 2025 : 27100, May 2025 : 27100, June 2025 : 27100, July 2025 : 27100, August 2025 : 27100, September 2025 : 22200"
related_keywords,shades for patio doors,100,,"October 2024 : 33100, November 2024 : 33100, December 2024 : 27100, January 2025 : 40500, February 2025 : 27100, March 2025 : 33100, April 2025 : 27100, May 2025 : 27100, June 2025 : 27100, July 2025 : 27100, August 2025 : 27100, September 2025 : 22200"
related_keywords,window valance curtains,100,,"October 2024 : 27100, November 2024 : 33100, December 2024 : 22200, January 2025 : 27100, February 2025 : 22200, March 2025 : 27100, April 2025 : 22200, May 2025 : 22200, June 2025 : 22200, July 2025 : 27100, August 2025 : 27100, September 2025 : 22200"
related_keywords,blind for sliding glass door,100,,"October 2024 : 33100, November 2024 : 33100, December 2024 : 27100, January 2025 : 40500, February 2025 : 27100, March 2025 : 33100, April 2025 : 27100, May 2025 : 27100, June 2025 : 27100, July 2025 : 27100, August 2025 : 27100, September 2025 : 22200"
related_keywords,curtains and valances,100,,"October 2024 : 27100, November 2024 : 33100, December 2024 : 22200, January 2025 : 27100, February 2025 : 22200, March 2025 : 27100, April 2025 : 22200, May 2025 : 22200, June 2025 : 22200, July 2025 : 27100, August 2025 : 27100, September 2025 : 22200"
related_keywords,drapes with valance,100,,"October 2024 : 27100, November 2024 : 33100, December 2024 : 22200, January 2025 : 27100, February 2025 : 22200, March 2025 : 27100, April 2025 : 22200, May 2025 : 22200, June 2025 : 22200, July 2025 : 27100, August 2025 : 27100, September 2025 : 22200"
related_keywords,hunter douglas blinds,100,,"October 2024 : 22200, November 2024 : 22200, December 2024 : 18100, January 2025 : 18100, February 2025 : 14800, March 2025 : 18100, April 2025 : 18100, May 2025 : 22200, June 2025 : 18100, July 2025 : 27100, August 2025 : 22200, September 2025 : 22200"
related_keywords,levolor blinds,100,,"October 2024 : 40500, November 2024 : 22200, December 2024 : 18100, January 2025 : 22200, February 2025 : 18100, March 2025 : 22200, April 2025 : 18100, May 2025 : 18100, June 2025 : 22200, July 2025 : 22200, August 2025 : 22200, September 2025 : 22200"
related_keywords,blackout shades,100,,"October 2024 : 22200, November 2024 : 22200, December 2024 : 18100, January 2025 : 22200, February 2025 : 18100, March 2025 : 22200, April 2025 : 22200, May 2025 : 27100, June 2025 : 33100, July 2025 : 33100, August 2025 : 27100, September 2025 : 18100"
related_keywords,window shutters interior,100,,"October 2024 : 22200, November 2024 : 18100, December 2024 : 14800, January 2025 : 22200, February 2025 : 18100, March 2025 : 22200, April 2025 : 22200, May 2025 : 18100, June 2025 : 22200, July 2025 : 33100, August 2025 : 22200, September 2025 : 22200"
related_keywords,interior shutters,100,,"October 2024 : 22200, November 2024 : 18100, December 2024 : 14800, January 2025 : 22200, February 2025 : 18100, March 2025 : 22200, April 2025 : 22200, May 2025 : 18100, June 2025 : 22200, July 2025 : 33100, August 2025 : 22200, September 2025 : 22200"
related_keywords,custom window treatments,2,,"October 2024 : 4400, November 2024 : 3600, December 2024 : 3600, January 2025 : 8100, February 2025 : 6600, March 2025 : 5400, April 2025 : 6600, May 2025 : 4400, June 2025 : 12100, July 2025 : 33100, August 2025 : 90500, September 2025 : 90500"
related_keywords,black out shades,100,,"October 2024 : 22200, November 2024 : 22200, December 2024 : 18100, January 2025 : 22200, February 2025 : 18100, March 2025 : 22200, April 2025 : 22200, May 2025 : 27100, June 2025 : 33100, July 2025 : 33100, August 2025 : 27100, September 2025 : 18100"
related_keywords,window shutters exterior,100,,"October 2024 : 22200, November 2024 : 14800, December 2024 : 12100, January 2025 : 12100, February 2025 : 14800, March 2025 : 22200, April 2025 : 22200, May 2025 : 22200, June 2025 : 22200, July 2025 : 22200, August 2025 : 27100, September 2025 : 22200"
related_keywords,valances,100,,"October 2024 : 27100, November 2024 : 27100, December 2024 : 22200, January 2025 : 27100, February 2025 : 22200, March 2025 : 27100, April 2025 : 22200, May 2025 : 22200, June 2025 : 22200, July 2025 : 22200, August 2025 : 27100, September 2025 : 22200"
related_keywords,bamboo window shades,100,,"October 2024 : 18100, November 2024 : 18100, December 2024 : 18100, January 2025 : 22200, February 2025 : 18100, March 2025 : 27100, April 2025 : 22200, May 2025 : 22200, June 2025 : 22200, July 2025 : 22200, August 2025 : 22200, September 2025 : 18100"
related_keywords,plantation shutters interior,100,,"October 2024 : 22200, November 2024 : 18100, December 2024 : 14800, January 2025 : 22200, February 2025 : 18100, March 2025 : 22200, April 2025 : 22200, May 2025 : 18100, June 2025 : 22200, July 2025 : 33100, August 2025 : 22200, September 2025 : 22200"
related_keywords,draperies near me,100,,"October 2024 : 22200, November 2024 : 27100, December 2024 : 18100, January 2025 : 22200, February 2025 : 22200, March 2025 : 22200, April 2025 : 18100, May 2025 : 18100, June 2025 : 22200, July 2025 : 22200, August 2025 : 27100, September 2025 : 22200"
related_keywords,inside window shutters,100,,"October 2024 : 22200, November 2024 : 18100, December 2024 : 14800, January 2025 : 22200, February 2025 : 18100, March 2025 : 22200, April 2025 : 22200, May 2025 : 18100, June 2025 : 22200, July 2025 : 33100, August 2025 : 22200, September 2025 : 22200"
related_keywords,lowes custom blinds,100,,"October 2024 : 22200, November 2024 : 22200, December 2024 : 18100, January 2025 : 22200, February 2025 : 18100, March 2025 : 27100, April 2025 : 22200, May 2025 : 22200, June 2025 : 22200, July 2025 : 22200, August 2025 : 22200, September 2025 : 18100"
related_keywords,bamboo roller shades,100,,"October 2024 : 18100, November 2024 : 18100, December 2024 : 18100, January 2025 : 22200, February 2025 : 18100, March 2025 : 27100, April 2025 : 22200, May 2025 : 22200, June 2025 : 22200, July 2025 : 22200, August 2025 : 22200, September 2025 : 18100"
related_keywords,lowes window shades,100,,"October 2024 : 22200, November 2024 : 22200, December 2024 : 18100, January 2025 : 22200, February 2025 : 18100, March 2025 : 27100, April 2025 : 22200, May 2025 : 22200, June 2025 : 22200, July 2025 : 22200, August 2025 : 22200, September 2025 : 18100"
related_keywords,bamboo window blinds,100,,"October 2024 : 18100, November 2024 : 18100, December 2024 : 18100, January 2025 : 22200, February 2025 : 18100, March 2025 : 27100, April 2025 : 22200, May 2025 : 22200, June 2025 : 22200, July 2025 : 22200, August 2025 : 22200, September 2025 : 18100"
related_keywords,zebra blind,100,,"October 2024 : 27100, November 2024 : 27100, December 2024 : 18100, January 2025 : 22200, February 2025 : 18100, March 2025 : 22200, April 2025 : 18100, May 2025 : 22200, June 2025 : 18100, July 2025 : 18100, August 2025 : 18100, September 2025 : 18100"
related_keywords,bamboo blind,100,,"October 2024 : 18100, November 2024 : 18100, December 2024 : 18100, January 2025 : 22200, February 2025 : 18100, March 2025 : 27100, April 2025 : 22200, May 2025 : 22200, June 2025 : 22200, July 2025 : 22200, August 2025 : 22200, September 2025 : 18100"
related_keywords,hunter douglas window shades,100,,"October 2024 : 22200, November 2024 : 22200, December 2024 : 18100, January 2025 : 18100, February 2025 : 14800, March 2025 : 18100, April 2025 : 18100, May 2025 : 22200, June 2025 : 18100, July 2025 : 27100, August 2025 : 22200, September 2025 : 22200"
related_keywords,automated window shades,100,,"October 2024 : 22200, November 2024 : 18100, December 2024 : 14800, January 2025 : 18100, February 2025 : 12100, March 2025 : 22200, April 2025 : 22200, May 2025 : 27100, June 2025 : 33100, July 2025 : 33100, August 2025 : 27100, September 2025 : 22200"
related_keywords,exterior shutter,100,,"October 2024 : 22200, November 2024 : 14800, December 2024 : 12100, January 2025 : 12100, February 2025 : 14800, March 2025 : 22200, April 2025 : 22200, May 2025 : 22200, June 2025 : 22200, July 2025 : 22200, August 2025 : 27100, September 2025 : 22200"
related_keywords,bedroom drapery,100,,"October 2024 : 22200, November 2024 : 22200, December 2024 : 18100, January 2025 : 22200, February 2025 : 18100, March 2025 : 22200, April 2025 : 18100, May 2025 : 18100, June 2025 : 18100, July 2025 : 18100, August 2025 : 18100, September 2025 : 18100"
related_keywords,roman blinds,100,,"October 2024 : 14800, November 2024 : 14800, December 2024 : 14800, January 2025 : 18100, February 2025 : 14800, March 2025 : 18100, April 2025 : 18100, May 2025 : 18100, June 2025 : 18100, July 2025 : 22200, August 2025 : 18100, September 2025 : 18100"
related_keywords,custom blinds,62,,"October 2024 : 14800, November 2024 : 18100, December 2024 : 12100, January 2025 : 14800, February 2025 : 12100, March 2025 : 18100, April 2025 : 18100, May 2025 : 14800, June 2025 : 14800, July 2025 : 14800, August 2025 : 27100, September 2025 : 40500"
related_keywords,roman shades for windows,100,,"October 2024 : 12100, November 2024 : 14800, December 2024 : 12100, January 2025 : 14800, February 2025 : 18100, March 2025 : 22200, April 2025 : 18100, May 2025 : 14800, June 2025 : 22200, July 2025 : 18100, August 2025 : 18100, September 2025 : 14800"
related_keywords,roller shades for windows,100,,"October 2024 : 12100, November 2024 : 12100, December 2024 : 9900, January 2025 : 12100, February 2025 : 12100, March 2025 : 14800, April 2025 : 12100, May 2025 : 12100, June 2025 : 22200, July 2025 : 33100, August 2025 : 33100, September 2025 : 22200"
related_keywords,mini blinds,100,,"October 2024 : 18100, November 2024 : 18100, December 2024 : 14800, January 2025 : 14800, February 2025 : 14800, March 2025 : 18100, April 2025 : 14800, May 2025 : 14800, June 2025 : 18100, July 2025 : 18100, August 2025 : 22200, September 2025 : 22200"
related_keywords,living room curtains,100,,"October 2024 : 22200, November 2024 : 27100, December 2024 : 22200, January 2025 : 22200, February 2025 : 18100, March 2025 : 22200, April 2025 : 14800, May 2025 : 14800, June 2025 : 14800, July 2025 : 14800, August 2025 : 14800, September 2025 : 18100"
related_keywords,roller blind,100,,"October 2024 : 14800, November 2024 : 14800, December 2024 : 12100, January 2025 : 14800, February 2025 : 12100, March 2025 : 14800, April 2025 : 14800, May 2025 : 14800, June 2025 : 14800, July 2025 : 40500, August 2025 : 14800, September 2025 : 18100"
related_keywords,roman blinds for windows,100,,"October 2024 : 12100, November 2024 : 14800, December 2024 : 12100, January 2025 : 14800, February 2025 : 18100, March 2025 : 22200, April 2025 : 18100, May 2025 : 14800, June 2025 : 22200, July 2025 : 18100, August 2025 : 18100, September 2025 : 14800"
